식당이미지(ID),식당(ID),식당명,지역명,식당이미지(URL),식당상태
28,789,OK Burger 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/789_162933214.jpg,폐업
29,789,OK Burger 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/789_1335663130.jpg,폐업
32,793,콘타이수끼,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/793_1493912629.jpg,미확인
33,793,콘타이수끼,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/793_130777227.jpg,미확인
43,802,후와후와 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/802_1092487660.jpg,폐업
44,802,후와후와 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/802_1705238425.jpg,폐업
51,806,제일제면소 여의도IFC몰점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/806_1413648574.jpg,운영중
52,806,제일제면소 여의도IFC몰점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/806_1796163358.jpg,운영중
58,811,크레이지후라이 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/811_583320834.jpg,폐업
59,811,크레이지후라이 여의도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/811_1942616296.jpg,폐업
76,818,우담,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/818_861623066.jpg,미확인
77,818,우담,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/818_912438036.jpg,미확인
85,2286,빽다방,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/2286_979564163.jpg,운영중
86,2286,빽다방,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/2286_567135447.jpg,운영중
101,3551,카페에이븐,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/3551_2072029860.jpg,폐업
102,3551,카페에이븐,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/3551_1013482486.jpg,폐업
109,4073,당산떡볶이,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/4073_914157416.jpg,운영중
110,4096,계절식당&포차,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/4096_1789168075.jpg,미확인
111,4096,계절식당&포차,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/4096_15703379.jpg,미확인
132,5770,금돈식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/5770_2144807763.jpg,미확인
133,5770,금돈식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/5770_2054260155.jpg,미확인
169,8180,진원식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/8180_437634510.jpg,폐업
170,8180,진원식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/8180_1506305656.jpg,폐업
171,8237,형제정육식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/8237_173711027.jpg,운영중
172,8237,형제정육식당,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/8237_285100272.jpg,운영중
178,9094,ing 치킨 신길점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/9094_1262549568.jpg,미확인
179,9094,ing 치킨 신길점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/9094_1637599822.jpg,미확인
181,9236,유로코피자 영등포점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/9236_2062216388.jpg,폐업
182,9348,오늘와인한잔 영등포구청점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/9348_1856120152.jpg,운영중
183,9348,오늘와인한잔 영등포구청점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/9348_1561003456.jpg,운영중
189,9866,만면희색 영등포타임스퀘어점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/9866_129262445.jpg,미확인
190,9866,만면희색 영등포타임스퀘어점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/9866_715563086.jpg,미확인
202,10133,만족오향족발 당산역점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/10133_1613740016.jpg,운영중
203,10824,본죽 선유도역점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/10824_1639941796.jpg,운영중
204,10824,본죽 선유도역점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/10824_99366580.jpg,운영중
216,14187,이필당 왕족발보쌈 본점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/14187_1921489913.jpg,운영중
217,14187,이필당 왕족발보쌈 본점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/14187_935112909.jpg,운영중
235,16692,김밥천국성애병원점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/16692_24308634.jpg,미확인
258,18603,당산돈,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/18603_1468134814.jpg,운영중
259,18603,당산돈,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/18603_1227113162.jpg,운영중
304,21944,크레올,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/21944_1819767338.jpg,운영중
